name_ch,name_en,team_ch,team_en,number,position,height,weight,weight,birthday,annual_salary
迈克-康利,Mike Conley,灰熊,grizzlies,11,G,1.85米/6尺1,79公斤/175磅,79公斤/175磅,1987-10-11,本年薪金：3052万美元
马克-加索尔,Marc Gasol,灰熊,grizzlies,33,C,2.16米/7尺1,116公斤/255磅,116公斤/255磅,1985-01-29,本年薪金：2412万美元
钱德勒-帕森斯,Chandler Parsons,灰熊,grizzlies,25,F,2.08米/6尺10,104公斤/230磅,104公斤/230磅,1988-10-25,本年薪金：2411万美元
凯尔-安德森,Kyle Anderson,灰熊,grizzlies,1,F,2.06米/6尺9,104公斤/230磅,104公斤/230磅,1993-09-20,本年薪金：864万美元
加莱特-坦普尔,Garrett Temple,灰熊,grizzlies,17,G-F,1.98米/6尺6,88公斤/195磅,88公斤/195磅,1986-05-08,本年薪金：800万美元
杰迈克尔-格林,JaMychal Green,灰熊,grizzlies,0,F,2.06米/6尺9,103公斤/227磅,103公斤/227磅,1990-06-21,本年薪金：787万美元
小贾伦-杰克逊,Jaren Jackson Jr.,灰熊,grizzlies,13,F,2.11米/6尺11,110公斤/242磅,110公斤/242磅,1999-09-15,本年薪金：591万美元
贾斯廷-霍勒迪,Justin Holiday,灰熊,grizzlies,7,G,1.98米/6尺6,84公斤/185磅,84公斤/185磅,1989-04-05,本年薪金：438万美元
欧米-卡斯比,Omri Casspi,灰熊,grizzlies,18,F,2.06米/6尺9,102公斤/225磅,102公斤/225磅,1988-06-22,本年薪金：217万美元
谢尔文-麦克,Shelvin Mack,灰熊,grizzlies,6,G,1.91米/6尺3,92公斤/203磅,92公斤/203磅,1990-04-22,本年薪金：203万美元
乔金-诺阿,Joakim Noah,灰熊,grizzlies,55,C,2.11米/6尺11,104公斤/230磅,104公斤/230磅,1985-02-25,本年薪金：173万美元
狄龙-布鲁克斯,Dillon Brooks,灰熊,grizzlies,24,G-F,1.98米/6尺6,102公斤/225磅,102公斤/225磅,1996-01-22,本年薪金：138万美元
伊万-拉布,Ivan Rabb,灰熊,grizzlies,10,F,2.08米/6尺10,100公斤/220磅,100公斤/220磅,1997-02-04,本年薪金：138万美元
杰文-卡特,Jevon Carter,灰熊,grizzlies,3,G,1.88米/6尺2,91公斤/200磅,91公斤/200磅,1995-09-14,本年薪金：84万美元
,Julian Washburn,灰熊,grizzlies,4,G-F,2.03米/6尺8,93公斤/205磅,93公斤/205磅,1991-12-18,本年薪金：7万美元
渡边雄太,Yuta Watanabe,灰熊,grizzlies,12,G-F,2.06米/6尺9,93公斤/205磅,93公斤/205磅,1994-10-13,本年薪金：7万美元
阿伦-克拉布,Allen Crabbe,篮网,nets,33,G-F,1.98米/6尺6,98公斤/215磅,98公斤/215磅,1992-04-09,本年薪金：1850万美元
德马雷-卡罗尔,DeMarre Carroll,篮网,nets,9,F,2.03米/6尺8,96公斤/212磅,96公斤/212磅,1986-07-27,本年薪金：1540万美元
贾里德-杜德利,Jared Dudley,篮网,nets,6,F,2.01米/6尺7,102公斤/225磅,102公斤/225磅,1985-07-10,本年薪金：953万美元
乔-哈里斯,Joe Harris,篮网,nets,12,G-F,1.98米/6尺6,99公斤/219磅,99公斤/219磅,1991-09-06,本年薪金：800万美元
丹吉洛-拉塞尔,D'Angelo Russell,篮网,nets,1,G,1.96米/6尺5,88公斤/195磅,88公斤/195磅,1996-02-23,本年薪金：702万美元
埃德-戴维斯,Ed Davis,篮网,nets,17,C,2.08米/6尺10,111公斤/245磅,111公斤/245磅,1989-06-05,本年薪金：445万美元
朗戴-霍利斯-杰弗森,Rondae Hollis-Jefferson,篮网,nets,24,F,2.01米/6尺7,97公斤/214磅,97公斤/214磅,1995-01-03,本年薪金：224万美元
贾莱特-阿伦,Jarrett Allen,篮网,nets,31,C,2.08米/6尺10,107公斤/235磅,107公斤/235磅,1998-04-21,本年薪金：203万美元
沙巴兹-内皮尔,Shabazz Napier,篮网,nets,13,G,1.85米/6尺1,79公斤/175磅,79公斤/175磅,1991-07-14,本年薪金：194万美元
卡里斯-勒韦尔,Caris LeVert,篮网,nets,22,G,2.01米/6尺7,92公斤/203磅,92公斤/203磅,1994-08-25,本年薪金：170万美元
斯潘塞-丁威迪,Spencer Dinwiddie,篮网,nets,8,G,1.98米/6尺6,91公斤/200磅,91公斤/200磅,1993-04-06,本年薪金：166万美元
扎南-穆萨,Dzanan Musa,篮网,nets,30,G-F,2.06米/6尺9,88公斤/195磅,88公斤/195磅,1999-05-08,本年薪金：163万美元
罗季翁斯-库鲁茨,Rodions Kurucs,篮网,nets,00,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1998-02-05,本年薪金：162万美元
特雷韦恩-格雷厄姆,Treveon Graham,篮网,nets,21,F,1.98米/6尺6,102公斤/226磅,102公斤/226磅,1993-10-28,本年薪金：151万美元
阿兰-威廉姆斯,Alan Williams,篮网,nets,15,F,2.03米/6尺8,118公斤/260磅,118公斤/260磅,1993-01-28,本年薪金：7万美元
西奥-平森,Theo Pinson,篮网,nets,10,G,1.98米/6尺6,99公斤/218磅,99公斤/218磅,1995-11-05,本年薪金：7万美元
达尼罗-加里纳利,Danilo Gallinari,快船,clippers,8,F,2.08米/6尺10,102公斤/225磅,102公斤/225磅,1988-08-08,本年薪金：2159万美元
托拜厄斯-哈里斯,Tobias Harris,快船,clippers,34,F,2.06米/6尺9,107公斤/235磅,107公斤/235磅,1992-07-15,本年薪金：1480万美元
马尔钦-戈塔特,Marcin Gortat,快船,clippers,13,C,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1984-02-17,本年薪金：1357万美元
埃弗里-布拉德利,Avery Bradley,快船,clippers,11,G,1.88米/6尺2,82公斤/180磅,82公斤/180磅,1990-11-26,本年薪金：1200万美元
路易斯-威廉姆斯,Lou Williams,快船,clippers,23,G,1.85米/6尺1,79公斤/175磅,79公斤/175磅,1986-10-27,本年薪金：800万美元
博班-马里亚诺维奇,Boban Marjanovic,快船,clippers,51,C,2.21米/7尺3,132公斤/290磅,132公斤/290磅,1988-08-15,本年薪金：700万美元
米洛什-特奥多西奇,Milos Teodosic,快船,clippers,4,G,1.96米/6尺5,89公斤/196磅,89公斤/196磅,1987-03-19,本年薪金：630万美元
蒙特雷兹-哈勒尔,Montrezl Harrell,快船,clippers,5,F-C,2.03米/6尺8,109公斤/240磅,109公斤/240磅,1994-01-26,本年薪金：600万美元
帕特里克-贝弗利,Patrick Beverley,快船,clippers,21,G,1.85米/6尺1,84公斤/185磅,84公斤/185磅,1988-07-12,本年薪金：503万美元
卢克-理查德-巴莫特,Luc Mbah a Moute,快船,clippers,12,F,2.03米/6尺8,104公斤/230磅,104公斤/230磅,1986-09-09,本年薪金：432万美元
迈克-斯科特,Mike Scott,快船,clippers,30,F,2.03米/6尺8,107公斤/237磅,107公斤/237磅,1988-07-16,本年薪金：432万美元
谢伊-吉尔杰斯-亚历山大,Shai Gilgeous-Alexander,快船,clippers,2,G,1.98米/6尺6,82公斤/180磅,82公斤/180磅,1998-07-12,本年薪金：337万美元
杰罗姆-罗宾逊,Jerome Robinson,快船,clippers,10,G,1.96米/6尺5,86公斤/190磅,86公斤/190磅,1997-02-22,本年薪金：305万美元
辛达里厄斯-桑韦尔,Sindarius Thornwell,快船,clippers,0,G,1.96米/6尺5,98公斤/215磅,98公斤/215磅,1994-11-15,本年薪金：138万美元
蒂龙-华莱士,Tyrone Wallace,快船,clippers,9,G,1.96米/6尺5,90公斤/198磅,90公斤/198磅,1994-06-10,本年薪金：135万美元
乔纳森-莫特利,Johnathan Motley,快船,clippers,15,F,2.08米/6尺10,104公斤/230磅,104公斤/230磅,1995-05-04,本年薪金：7万美元
安吉尔-德尔加多,Angel Delgado,快船,clippers,31,C,2.08米/6尺10,109公斤/240磅,109公斤/240磅,1994-11-20,本年薪金：7万美元
布雷克-格里芬,Blake Griffin,活塞,pistons,23,F,2.08米/6尺10,114公斤/251磅,114公斤/251磅,1989-03-16,本年薪金：3187万美元
安德烈-德拉蒙德,Andre Drummond,活塞,pistons,0,C,2.11米/6尺11,127公斤/279磅,127公斤/279磅,1993-08-10,本年薪金：2543万美元
雷吉-杰克逊,Reggie Jackson,活塞,pistons,1,G,1.91米/6尺3,94公斤/208磅,94公斤/208磅,1990-04-16,本年薪金：1704万美元
乔恩-洛伊尔,Jon Leuer,活塞,pistons,30,F,2.08米/6尺10,103公斤/228磅,103公斤/228磅,1989-05-14,本年薪金：1000万美元
兰斯顿-加洛韦,Langston Galloway,活塞,pistons,9,G,1.88米/6尺2,91公斤/200磅,91公斤/200磅,1991-12-09,本年薪金：700万美元
伊斯梅尔-史密斯,Ish Smith,活塞,pistons,14,G,1.83米/6尺0,79公斤/175磅,79公斤/175磅,1988-07-05,本年薪金：600万美元
格伦-罗宾逊三世,Glenn Robinson III,活塞,pistons,22,G-F,1.98米/6尺6,101公斤/222磅,101公斤/222磅,1994-01-08,本年薪金：407万美元
斯坦利-约翰逊,Stanley Johnson,活塞,pistons,7,F,2.01米/6尺7,111公斤/245磅,111公斤/245磅,1996-05-29,本年薪金：394万美元
卢克-肯纳德,Luke Kennard,活塞,pistons,5,G,1.96米/6尺5,91公斤/200磅,91公斤/200磅,1996-06-24,本年薪金：328万美元
雷吉-布洛克,Reggie Bullock,活塞,pistons,25,F,2.01米/6尺7,93公斤/205磅,93公斤/205磅,1991-03-16,本年薪金：250万美元
何塞-卡尔德隆,Jose Calderon,活塞,pistons,81,G,1.91米/6尺3,91公斤/200磅,91公斤/200磅,1981-09-28,本年薪金：239万美元
扎扎-帕楚里亚,Zaza Pachulia,活塞,pistons,27,C,2.11米/6尺11,125公斤/275磅,125公斤/275磅,1984-02-10,本年薪金：239万美元
亨利-埃伦森,Henry Ellenson,活塞,pistons,8,F,2.11米/6尺11,111公斤/245磅,111公斤/245磅,1997-01-13,本年薪金：186万美元
布鲁斯-布朗,Bruce Brown,活塞,pistons,6,G,1.96米/6尺5,86公斤/190磅,86公斤/190磅,1996-08-15,本年薪金：84万美元
凯里-托马斯,Khyri Thomas,活塞,pistons,13,G,1.91米/6尺3,95公斤/210磅,95公斤/210磅,1996-05-08,本年薪金：84万美元
卡林-卢卡斯,Kalin Lucas,活塞,pistons,,G,1.85米/6尺1,88公斤/195磅,88公斤/195磅,1989-05-24,本年薪金：7万美元
以赛亚-怀特黑德,Isaiah Whitehead,活塞,pistons,15,G,1.93米/6尺4,97公斤/213磅,97公斤/213磅,1995-03-08,本年薪金：7万美元
奥托-波特,Otto Porter Jr.,奇才,wizards,22,F,2.03米/6尺8,90公斤/198磅,90公斤/198磅,1993-06-03,本年薪金：2601万美元
布拉德利-比尔,Bradley Beal,奇才,wizards,3,G,1.96米/6尺5,94公斤/207磅,94公斤/207磅,1993-06-28,本年薪金：2543万美元
约翰-沃尔,John Wall,奇才,wizards,2,G,1.93米/6尺4,95公斤/210磅,95公斤/210磅,1990-09-06,本年薪金：1917万美元
伊安-马辛米,Ian Mahinmi,奇才,wizards,28,C,2.11米/6尺11,119公斤/262磅,119公斤/262磅,1986-11-05,本年薪金：1594万美元
特雷沃-阿里扎,Trevor Ariza,奇才,wizards,1,F,2.03米/6尺8,98公斤/215磅,98公斤/215磅,1985-06-30,本年薪金：1500万美元
马基夫-莫里斯,Markieff Morris,奇才,wizards,5,F,2.08米/6尺10,111公斤/245磅,111公斤/245磅,1989-09-02,本年薪金：860万美元
德怀特-霍华德,Dwight Howard,奇才,wizards,21,C,2.11米/6尺11,120公斤/265磅,120公斤/265磅,1985-12-08,本年薪金：534万美元
托马什-萨托兰斯基,Tomas Satoransky,奇才,wizards,31,G-F,2.01米/6尺7,95公斤/210磅,95公斤/210磅,1991-10-30,本年薪金：313万美元
萨姆-德克尔,Sam Dekker,奇才,wizards,8,F,2.06米/6尺9,104公斤/230磅,104公斤/230磅,1994-05-08,本年薪金：276万美元
特洛伊-布朗,Troy Brown Jr.,奇才,wizards,6,F,2.01米/6尺7,98公斤/215磅,98公斤/215磅,1999-07-28,本年薪金：275万美元
杰夫-格林,Jeff Green,奇才,wizards,32,F,2.06米/6尺9,107公斤/235磅,107公斤/235磅,1986-08-28,本年薪金：239万美元
托马斯-布莱恩特,Thomas Bryant,奇才,wizards,13,C,2.08米/6尺10,112公斤/248磅,112公斤/248磅,1997-07-31,本年薪金：138万美元
沙松-兰德尔,Chasson Randle,奇才,wizards,9,G,1.88米/6尺2,84公斤/185磅,84公斤/185磅,1993-02-05,本年薪金：87万美元
德文-罗宾逊,Devin Robinson,奇才,wizards,7,F,2.03米/6尺8,91公斤/200磅,91公斤/200磅,1995-03-07,本年薪金：7万美元
乔丹-麦克雷,Jordan McRae,奇才,wizards,52,G,1.96米/6尺5,81公斤/179磅,81公斤/179磅,1991-03-28,本年薪金：7万美元
加里-佩顿二世,Gary Payton II,奇才,wizards,4,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1992-12-01,本年薪金：万美元
扎克-兰多夫,Zach Randolph,国王,kings,50,F,2.06米/6尺9,118公斤/260磅,118公斤/260磅,1981-07-16,本年薪金：1169万美元
伊曼-香珀特,Iman Shumpert,国王,kings,9,G,1.96米/6尺5,100公斤/220磅,100公斤/220磅,1990-06-26,本年薪金：1101万美元
波格丹-波格丹诺维奇,Bogdan Bogdanovic,国王,kings,8,G,1.98米/6尺6,93公斤/205磅,93公斤/205磅,1992-08-18,本年薪金：900万美元
科斯塔-库佛斯,Kosta Koufos,国王,kings,41,C,2.13米/7尺0,120公斤/265磅,120公斤/265磅,1989-02-24,本年薪金：874万美元
马文-巴格利,Marvin Bagley III,国王,kings,35,F,2.11米/6尺11,107公斤/235磅,107公斤/235磅,1999-03-14,本年薪金：730万美元
内马尼亚-别利察,Nemanja Bjelica,国王,kings,88,F,2.08米/6尺10,102公斤/225磅,102公斤/225磅,1988-05-09,本年薪金：650万美元
达龙-福克斯,De'Aaron Fox,国王,kings,5,G,1.91米/6尺3,79公斤/175磅,79公斤/175磅,1997-12-20,本年薪金：547万美元
本-麦克勒摩,Ben McLemore,国王,kings,23,G,1.96米/6尺5,88公斤/195磅,88公斤/195磅,1993-02-11,本年薪金：546万美元
威利-考利-斯坦,Willie Cauley-Stein,国王,kings,00,C,2.13米/7尺0,109公斤/240磅,109公斤/240磅,1993-08-18,本年薪金：470万美元
巴迪-希尔德,Buddy Hield,国王,kings,24,G,1.93米/6尺4,97公斤/214磅,97公斤/214磅,1992-12-17,本年薪金：383万美元
约吉-费雷尔,Yogi Ferrell,国王,kings,3,G,1.83米/6尺0,82公斤/180磅,82公斤/180磅,1993-05-09,本年薪金：300万美元
贾斯廷-杰克逊,Justin Jackson,国王,kings,25,F,2.03米/6尺8,95公斤/210磅,95公斤/210磅,1995-03-28,本年薪金：281万美元
哈里-贾尔斯,Harry Giles III,国王,kings,20,F-C,2.08米/6尺10,109公斤/240磅,109公斤/240磅,1998-04-22,本年薪金：221万美元
弗兰克-梅森,Frank Mason,国王,kings,10,G,1.83米/6尺0,86公斤/190磅,86公斤/190磅,1994-04-03,本年薪金：138万美元
斯卡尔-拉比西埃,Skal Labissiere,国王,kings,7,F,2.11米/6尺11,102公斤/225磅,102公斤/225磅,1996-03-18,本年薪金：130万美元
韦尼恩-加布里埃尔,Wenyen Gabriel,国王,kings,32,F,2.06米/6尺9,97公斤/213磅,97公斤/213磅,1997-03-26,本年薪金：7万美元
特洛伊-威廉姆斯,Troy Williams,国王,kings,19,G-F,2.01米/6尺7,95公斤/210磅,95公斤/210磅,1994-12-30,本年薪金：7万美元
凯尔-洛瑞,Kyle Lowry,猛龙,raptors,7,G,1.83米/6尺0,93公斤/205磅,93公斤/205磅,1986-03-25,本年薪金：3100万美元
赛尔吉-伊巴卡,Serge Ibaka,猛龙,raptors,9,C-F,2.08米/6尺10,107公斤/235磅,107公斤/235磅,1989-09-18,本年薪金：2167万美元
科怀-伦纳德,Kawhi Leonard,猛龙,raptors,2,F,2.01米/6尺7,104公斤/230磅,104公斤/230磅,1991-06-29,本年薪金：2010万美元
约纳斯-瓦兰丘纳斯,Jonas Valanciunas,猛龙,raptors,17,C,2.13米/7尺0,116公斤/255磅,116公斤/255磅,1992-05-06,本年薪金：1654万美元
丹尼-格林,Danny Green,猛龙,raptors,14,G-F,1.98米/6尺6,98公斤/215磅,98公斤/215磅,1987-06-22,本年薪金：1000万美元
诺曼-鲍威尔,Norman Powell,猛龙,raptors,24,F-G,1.93米/6尺4,98公斤/215磅,98公斤/215磅,1993-05-25,本年薪金：937万美元
弗雷德-范弗利特,Fred VanVleet,猛龙,raptors,23,G,1.83米/6尺0,88公斤/195磅,88公斤/195磅,1994-02-25,本年薪金：865万美元
CJ-迈尔斯,CJ Miles,猛龙,raptors,0,F-G,1.98米/6尺6,102公斤/225磅,102公斤/225磅,1987-03-18,本年薪金：833万美元
德朗-赖特,Delon Wright,猛龙,raptors,55,G,1.96米/6尺5,86公斤/190磅,86公斤/190磅,1992-04-26,本年薪金：254万美元
格雷格-门罗,Greg Monroe,猛龙,raptors,15,C,2.11米/6尺11,120公斤/265磅,120公斤/265磅,1990-06-04,本年薪金：217万美元
OG-阿奴诺比,OG Anunoby,猛龙,raptors,3,F,2.03米/6尺8,107公斤/235磅,107公斤/235磅,1997-07-17,本年薪金：195万美元
马拉奇-理查德森,Malachi Richardson,猛龙,raptors,22,G,1.98米/6尺6,93公斤/205磅,93公斤/205磅,1996-01-05,本年薪金：157万美元
帕斯卡尔-西亚卡姆,Pascal Siakam,猛龙,raptors,43,F,2.06米/6尺9,104公斤/230磅,104公斤/230磅,1994-04-02,本年薪金：130万美元
克里斯-布歇,Chris Boucher,猛龙,raptors,25,F,2.08米/6尺10,91公斤/200磅,91公斤/200磅,1993-01-11,本年薪金：84万美元
帕特里克-麦考,Patrick McCaw,猛龙,raptors,1,G,2.01米/6尺7,84公斤/185磅,84公斤/185磅,1995-10-25,本年薪金：78万美元
乔丹-劳埃德,Jordan Loyd,猛龙,raptors,8,G,1.93米/6尺4,95公斤/210磅,95公斤/210磅,1993-07-27,本年薪金：7万美元
莱恩-安德森,Ryan Anderson,太阳,suns,15,F,2.08米/6尺10,109公斤/240磅,109公斤/240磅,1988-05-06,本年薪金：2042万美元
TJ-沃伦,TJ Warren,太阳,suns,12,F,2.03米/6尺8,102公斤/225磅,102公斤/225磅,1993-09-05,本年薪金：1175万美元
德安德烈-艾顿,Deandre Ayton,太阳,suns,22,C,2.16米/7尺1,118公斤/260磅,118公斤/260磅,1998-07-23,本年薪金：816万美元
约什-杰克逊,Josh Jackson,太阳,suns,20,F,2.03米/6尺8,93公斤/205磅,93公斤/205磅,1997-02-10,本年薪金：604万美元
德拉甘-本德尔,Dragan Bender,太阳,suns,35,F,2.16米/7尺1,102公斤/225磅,102公斤/225磅,1997-11-17,本年薪金：466万美元
米卡尔-布里奇斯,Mikal Bridges,太阳,suns,25,F,2.01米/6尺7,95公斤/209磅,95公斤/209磅,1996-08-30,本年薪金：355万美元
特洛伊-丹尼尔斯,Troy Daniels,太阳,suns,30,G,1.93米/6尺4,93公斤/205磅,93公斤/205磅,1991-07-15,本年薪金：348万美元
德文-布克,Devin Booker,太阳,suns,1,G,1.98米/6尺6,93公斤/206磅,93公斤/206磅,1996-10-30,本年薪金：331万美元
凯利-乌布雷,Kelly Oubre Jr.,太阳,suns,3,F,2.01米/6尺7,93公斤/205磅,93公斤/205磅,1995-12-09,本年薪金：321万美元
贾马尔-克劳福德,Jamal Crawford,太阳,suns,11,G,1.96米/6尺5,88公斤/195磅,88公斤/195磅,1980-03-20,本年薪金：240万美元
里乔恩-霍姆斯,Richaun Holmes,太阳,suns,21,F-C,2.08米/6尺10,111公斤/245磅,111公斤/245磅,1993-10-15,本年薪金：160万美元
埃利-奥科博,Elie Okobo,太阳,suns,2,G,1.88米/6尺2,82公斤/180磅,82公斤/180磅,1997-10-23,本年薪金：124万美元
丹东尼-梅尔顿,De'Anthony Melton,太阳,suns,14,G,1.93米/6尺4,86公斤/190磅,86公斤/190磅,1998-05-28,本年薪金：84万美元
昆西-埃西,Quincy Acy,太阳,suns,4,F,2.01米/6尺7,109公斤/240磅,109公斤/240磅,1990-10-06,本年薪金：11万美元
贾旺-埃文斯,Jawun Evans,太阳,suns,0,G,1.83米/6尺0,86公斤/190磅,86公斤/190磅,1996-07-26,本年薪金：7万美元
乔治-金,George King,太阳,suns,8,F,1.98米/6尺6,100公斤/220磅,100公斤/220磅,1994-01-15,本年薪金：7万美元
克里斯-保罗,Chris Paul,火箭,rockets,3,G,1.83米/6尺0,79公斤/175磅,79公斤/175磅,1985-05-06,本年薪金：3565万美元
詹姆斯-哈登,James Harden,火箭,rockets,13,G,1.96米/6尺5,100公斤/220磅,100公斤/220磅,1989-08-26,本年薪金：3043万美元
布兰登-奈特,Brandon Knight,火箭,rockets,2,G,1.91米/6尺3,88公斤/195磅,88公斤/195磅,1991-12-02,本年薪金：1463万美元
克林特-卡佩拉,Clint Capela,火箭,rockets,15,C,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1994-05-18,本年薪金：1379万美元
埃里克-戈登,Eric Gordon,火箭,rockets,10,G,1.93米/6尺4,98公斤/215磅,98公斤/215磅,1988-12-25,本年薪金：1350万美元
PJ-塔克,PJ Tucker,火箭,rockets,17,F,1.98米/6尺6,111公斤/245磅,111公斤/245磅,1985-05-05,本年薪金：797万美元
内内, Nene,火箭,rockets,42,C-F,2.11米/6尺11,113公斤/250磅,113公斤/250磅,1982-09-13,本年薪金：365万美元
马基斯-克里斯,Marquese Chriss,火箭,rockets,0,F,2.08米/6尺10,106公斤/233磅,106公斤/233磅,1997-07-02,本年薪金：321万美元
杰拉德-格林,Gerald Green,火箭,rockets,14,G-F,2.01米/6尺7,93公斤/205磅,93公斤/205磅,1986-01-26,本年薪金：240万美元
詹姆斯-恩尼斯,James Ennis III,火箭,rockets,8,F,2.01米/6尺7,95公斤/210磅,95公斤/210磅,1990-07-01,本年薪金：162万美元
奥斯汀-里弗斯,Austin Rivers,火箭,rockets,25,G,1.93米/6尺4,91公斤/200磅,91公斤/200磅,1992-08-01,本年薪金：116万美元
以赛亚-哈尔滕施泰因,Isaiah Hartenstein,火箭,rockets,55,F-C,2.13米/7尺0,113公斤/249磅,113公斤/249磅,1998-05-05,本年薪金：84万美元
加里-克拉克,Gary Clark,火箭,rockets,6,F,2.03米/6尺8,102公斤/225磅,102公斤/225磅,1994-11-16,本年薪金：60万美元
丹纽尔-豪斯,Danuel House,火箭,rockets,4,G,2.01米/6尺7,98公斤/215磅,98公斤/215磅,1993-06-07,本年薪金：7万美元
文森特-爱德华兹,Vincent Edwards,火箭,rockets,12,F,2.03米/6尺8,102公斤/225磅,102公斤/225磅,1996-04-05,本年薪金：7万美元
肯尼思-法里德,Kenneth Faried,火箭,rockets,35,F-C,2.03米/6尺8,103公斤/228磅,103公斤/228磅,1989-11-19,本年薪金：万美元
埃内斯-坎特,Enes Kanter,尼克斯,knicks,00,C,2.11米/6尺11,111公斤/245磅,111公斤/245磅,1992-05-20,本年薪金：1862万美元
小蒂姆-哈达威,Tim Hardaway Jr.,尼克斯,knicks,3,F-G,1.98米/6尺6,93公斤/205磅,93公斤/205磅,1992-03-16,本年薪金：1733万美元
考特尼-李,Courtney Lee,尼克斯,knicks,5,G,1.96米/6尺5,91公斤/200磅,91公斤/200磅,1985-10-03,本年薪金：1225万美元
兰斯-托马斯,Lance Thomas,尼克斯,knicks,42,F,2.03米/6尺8,107公斤/235磅,107公斤/235磅,1988-04-24,本年薪金：712万美元
马里奥-海佐尼亚,Mario Hezonja,尼克斯,knicks,8,F-G,2.03米/6尺8,99公斤/218磅,99公斤/218磅,1995-02-25,本年薪金：650万美元
克里斯塔普斯-波尔津吉斯,Kristaps Porzingis,尼克斯,knicks,6,F-C,2.21米/7尺3,109公斤/240磅,109公斤/240磅,1995-08-02,本年薪金：570万美元
伊曼纽尔-穆迪埃,Emmanuel Mudiay,尼克斯,knicks,1,G,1.96米/6尺5,91公斤/200磅,91公斤/200磅,1996-03-05,本年薪金：429万美元
弗朗克-尼利基纳,Frank Ntilikina,尼克斯,knicks,11,G,1.96米/6尺5,86公斤/190磅,86公斤/190磅,1998-07-28,本年薪金：416万美元
凯文-诺克斯,Kevin Knox,尼克斯,knicks,20,F,2.06米/6尺9,98公斤/215磅,98公斤/215磅,1999-08-11,本年薪金：374万美元
阿朗佐-特里尔,Allonzo Trier,尼克斯,knicks,14,G,1.96米/6尺5,90公斤/198磅,90公斤/198磅,1996-01-17,本年薪金：338万美元
特雷-伯克,Trey Burke,尼克斯,knicks,23,G,1.85米/6尺1,87公斤/191磅,87公斤/191磅,1992-11-12,本年薪金：180万美元
卢克-科内特,Luke Kornet,尼克斯,knicks,2,F-C,2.16米/7尺1,113公斤/250磅,113公斤/250磅,1995-07-15,本年薪金：162万美元
丹伊恩-多特森,Damyean Dotson,尼克斯,knicks,21,G,1.96米/6尺5,95公斤/210磅,95公斤/210磅,1994-05-06,本年薪金：162万美元
诺阿-冯莱,Noah Vonleh,尼克斯,knicks,32,F,2.06米/6尺9,111公斤/245磅,111公斤/245磅,1995-08-24,本年薪金：162万美元
米切尔-罗宾逊,Mitchell Robinson,尼克斯,knicks,26,C,2.16米/7尺1,101公斤/223磅,101公斤/223磅,1998-04-01,本年薪金：149万美元
卡迪姆-阿伦,Kadeem Allen,尼克斯,knicks,0,G,1.91米/6尺3,91公斤/200磅,91公斤/200磅,1993-01-15,本年薪金：7万美元
以赛亚-希克斯,Isaiah Hicks,尼克斯,knicks,4,F,2.06米/6尺9,110公斤/242磅,110公斤/242磅,1994-07-24,本年薪金：7万美元
肯特-贝兹莫尔,Kent Bazemore,老鹰,hawks,24,G,1.96米/6尺5,91公斤/201磅,91公斤/201磅,1989-07-01,本年薪金：1809万美元
